Butikk,Bonus,Link
Skruvat,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfskruvat
SkyShowtime,130 kr (1755 poeng),https://trumfnetthandel.no/cashback/skyshowtime-trumf
SmartaSaker,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/smartasaker-trumf
Smartphoto,"9,3 % (126 poeng per 100kr)",https://trumfnetthandel.no/cashback/smartphoto-trumf
Sparmax,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/sparmax
Sportmann,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/sportmann-trumf
Staypro,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/staypro-trumf
Stormberg,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/stormberg-trumf
Storytel,50 kr (675 poeng),https://trumfnetthandel.no/cashback/storytel-trumf
Strawberry,7 % (94 poeng per 100kr),https://trumfnetthandel.no/cashback/strawberry-trumf
Strikkia,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/strikkia-trumf
Strim,270 kr (3645 poeng),https://trumfnetthandel.no/cashback/strim-trumf
Superdry,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfsuperdry-no
Superkul,"5,4 % (73 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfsuperkul
Tilbords,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/tilbords-trumf
Timarco,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/timarcotrumf
Treningspartner,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumftreningspartner
Trip,"4,2 % (57 poeng per 100kr)",https://trumfnetthandel.no/cashback/trip-trumf
TripX,"5,4 % (73 poeng per 100kr)",https://trumfnetthandel.no/cashback/tripx-trumf
Urverket,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/urverket-trumf
VPG,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/vpg-trumf
VY Express,"2,7 % (36 poeng per 100kr)",https://trumfnetthandel.no/cashback/vy-trumf
VetZoo,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/vetzoo-trumf
Viaplay,290 kr (3915 poeng),https://trumfnetthandel.no/cashback/viaplay-trumf
Viator,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/viator-trumf
VidaXL,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/vidaxl-trumf2
Viking Footwear,"5,8 % (78 poeng per 100kr)",https://trumfnetthandel.no/cashback/viking-footwear
Vistaprint,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfvistaprint
Vita,4 % (54 poeng per 100kr),https://trumfnetthandel.no/cashback/trumfvita
VitaminX,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/vitaminx-trumf
Vrbo,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/vrbo-trumf
Xplora,195 kr (2632 poeng),https://trumfnetthandel.no/cashback/xplora-trumf
YouWish,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/youwish
YourSurprise,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/yoursurprise-trumf
Zooplus,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/zooplus
babymarkt,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/babymarkt-trumf
blush,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/blush-trumf
dekkonline.com,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfdekkonline
eBay,1 % (14 poeng per 100kr),https://trumfnetthandel.no/cashback/ebay-trumfno
eStore,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/estore-trumf
homeroom,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/homeroom-trumf
iMusic,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/imusic-trumf
inkClub.com,"11,7 % (158 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfinkclub-no
kinogavekort,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/kinogavekort-trumf
mimmis,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/mimmistrumf
